timestamp,player_name,market_key,market_name,outcome,best_price,point,best_bookmaker,description
2025-06-18T20:15:11.954019,Shai Gilgeous-Alexander,player_points,Player Points (Over/Under),Under,-112,33.5,fanduel,Shai Gilgeous-Alexander
2025-06-18T20:15:11.954023,Alex Caruso,player_points,Player Points (Over/Under),Over,-114,9.5,fanduel,Alex Caruso
2025-06-18T20:15:11.954026,Alex Caruso,player_points,Player Points (Over/Under),Under,-114,9.5,fanduel,Alex Caruso
2025-06-18T20:15:11.954030,Jalen Williams,player_points,Player Points (Over/Under),Over,-108,23.5,fanduel,Jalen Williams
2025-06-18T20:15:11.954033,Jalen Williams,player_points,Player Points (Over/Under),Under,-122,23.5,fanduel,Jalen Williams
2025-06-18T20:15:11.954037,T.J. McConnell,player_points,Player Points (Over/Under),Over,-102,10.5,fanduel,T.J. McConnell
2025-06-18T20:15:11.954040,T.J. McConnell,player_points,Player Points (Over/Under),Under,-130,10.5,fanduel,T.J. McConnell
2025-06-18T20:15:11.954044,Tyrese Haliburton,player_points,Player Points (Over/Under),Over,-102,13.5,fanduel,Tyrese Haliburton
2025-06-18T20:15:11.954047,Tyrese Haliburton,player_points,Player Points (Over/Under),Under,-130,13.5,fanduel,Tyrese Haliburton
2025-06-18T20:15:11.954051,Aaron Wiggins,player_points,Player Points (Over/Under),Over,-125,5.5,fanduel,Aaron Wiggins
2025-06-18T20:15:11.954054,Aaron Wiggins,player_points,Player Points (Over/Under),Under,-106,5.5,fanduel,Aaron Wiggins
2025-06-18T20:15:11.954058,Cason Wallace,player_points,Player Points (Over/Under),Over,-102,5.5,fanduel,Cason Wallace
2025-06-18T20:15:11.954061,Cason Wallace,player_points,Player Points (Over/Under),Under,-130,5.5,fanduel,Cason Wallace
2025-06-18T20:15:11.954065,Andrew Nembhard,player_points,Player Points (Over/Under),Over,-130,10.5,fanduel,Andrew Nembhard
2025-06-18T20:15:11.954068,Andrew Nembhard,player_points,Player Points (Over/Under),Under,-102,10.5,fanduel,Andrew Nembhard
2025-06-18T20:15:11.954072,Isaiah Hartenstein,player_points,Player Points (Over/Under),Over,-108,5.5,fanduel,Isaiah Hartenstein
2025-06-18T20:15:11.954075,Isaiah Hartenstein,player_points,Player Points (Over/Under),Under,-122,5.5,fanduel,Isaiah Hartenstein
2025-06-18T20:15:11.954079,Obi Toppin,player_points,Player Points (Over/Under),Over,100,10.5,fanduel,Obi Toppin
2025-06-18T20:15:11.954083,Obi Toppin,player_points,Player Points (Over/Under),Under,-132,10.5,fanduel,Obi Toppin
2025-06-18T20:15:11.954086,Bennedict Mathurin,player_points,Player Points (Over/Under),Over,-132,10.5,fanduel,Bennedict Mathurin
2025-06-18T20:15:11.954089,Bennedict Mathurin,player_points,Player Points (Over/Under),Under,100,10.5,fanduel,Bennedict Mathurin
2025-06-18T20:15:11.954094,Luguentz Dort,player_points,Player Points (Over/Under),Over,-132,7.5,fanduel,Luguentz Dort
2025-06-18T20:15:11.954097,Luguentz Dort,player_points,Player Points (Over/Under),Under,100,7.5,fanduel,Luguentz Dort
2025-06-18T20:15:11.954101,Aaron Nesmith,player_points,Player Points (Over/Under),Over,104,11.5,fanduel,Aaron Nesmith
2025-06-18T20:15:11.954105,Aaron Nesmith,player_points,Player Points (Over/Under),Under,-138,11.5,fanduel,Aaron Nesmith
2025-06-18T20:15:11.954109,Chet Holmgren,player_rebounds,Player Rebounds (Over/Under),Over,102,9.5,fanduel,Chet Holmgren
2025-06-18T20:15:11.954112,Chet Holmgren,player_rebounds,Player Rebounds (Over/Under),Under,-136,9.5,fanduel,Chet Holmgren
2025-06-18T20:15:11.954116,Andrew Nembhard,player_rebounds,Player Rebounds (Over/Under),Over,-104,3.5,fanduel,Andrew Nembhard
2025-06-18T20:15:11.954119,Andrew Nembhard,player_rebounds,Player Rebounds (Over/Under),Under,-128,3.5,fanduel,Andrew Nembhard
2025-06-18T20:15:11.954123,Myles Turner,player_rebounds,Player Rebounds (Over/Under),Over,-158,4.5,fanduel,Myles Turner
2025-06-18T20:15:11.954126,Myles Turner,player_rebounds,Player Rebounds (Over/Under),Under,118,4.5,fanduel,Myles Turner
2025-06-18T20:15:11.954130,Aaron Wiggins,player_rebounds,Player Rebounds (Over/Under),Over,110,2.5,fanduel,Aaron Wiggins
2025-06-18T20:15:11.954133,Aaron Wiggins,player_rebounds,Player Rebounds (Over/Under),Under,-146,2.5,fanduel,Aaron Wiggins
2025-06-18T20:15:11.954137,Cason Wallace,player_rebounds,Player Rebounds (Over/Under),Over,130,2.5,fanduel,Cason Wallace
2025-06-18T20:15:11.954140,Cason Wallace,player_rebounds,Player Rebounds (Over/Under),Under,-174,2.5,fanduel,Cason Wallace
2025-06-18T20:15:11.954144,Shai Gilgeous-Alexander,player_rebounds,Player Rebounds (Over/Under),Over,128,5.5,fanduel,Shai Gilgeous-Alexander
2025-06-18T20:15:11.954149,Shai Gilgeous-Alexander,player_rebounds,Player Rebounds (Over/Under),Under,-172,5.5,fanduel,Shai Gilgeous-Alexander
2025-06-18T20:15:11.954153,T.J. McConnell,player_rebounds,Player Rebounds (Over/Under),Over,104,3.5,fanduel,T.J. McConnell
2025-06-18T20:15:11.954156,T.J. McConnell,player_rebounds,Player Rebounds (Over/Under),Under,-138,3.5,fanduel,T.J. McConnell
2025-06-18T20:15:11.954160,Pascal Siakam,player_rebounds,Player Rebounds (Over/Under),Over,-140,6.5,fanduel,Pascal Siakam
2025-06-18T20:15:11.954163,Pascal Siakam,player_rebounds,Player Rebounds (Over/Under),Under,106,6.5,fanduel,Pascal Siakam
2025-06-18T20:15:11.954167,Obi Toppin,player_rebounds,Player Rebounds (Over/Under),Over,-152,4.5,fanduel,Obi Toppin
